city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Bradford,42.6330321,-93.2449247,1908020,Franklin,x,,19069,Iowa,CDP
Bradgate,42.8030275,-94.4180271,1908065,Humboldt,x,,19091,Iowa,
Albert City,42.7778617,-94.9497833,1900865,Buena Vista,x,,19021,Iowa,
Brandon,42.3144359,-92.0021228,1908155,Buchanan,x,,19019,Iowa,
Brayton,41.5444325,-94.9241522,1908200,Audubon,x,,19009,Iowa,
Breda,42.1816509,-94.9769338,1908290,Carroll,x,,19027,Iowa,
Bridgewater,41.2449872,-94.6688623,1908425,Adair,x,,19001,Iowa,
Brighton,41.1747394,-91.8196149,1908470,Washington,x,,19183,Iowa,
Bristow,42.7738635,-92.9074177,1908560,Butler,x,,19023,Iowa,
Britt,43.0977399,-93.8018875,1908605,Hancock,x,,19081,Iowa,
Bronson,42.4108256,-96.2139129,1908650,Woodbury,x,,19193,Iowa,
Brooklyn,41.7315717,-92.4453638,1908695,Poweshiek,x,,19157,Iowa,
Brunsville,42.8097123,-96.2691912,1908875,Plymouth,x,,19149,Iowa,
Albia,41.0300078,-92.811307,1900910,Monroe,x,,19135,Iowa,
Buck Grove,41.9180436,-95.3961102,1909145,Crawford,x,,19047,Iowa,
Buckeye,42.4173398,-93.3756168,1909100,Hardin,x,,19083,Iowa,
Buffalo Center,43.3857909,-93.9466193,1909280,Winnebago,x,,19189,Iowa,
Buffalo,41.4555873,-90.7209746,1909235,Scott,x,,19163,Iowa,
Burchinal,43.0652402,-93.2782599,1909415,Cerro Gordo,x,,19033,Iowa,CDP
Burlington,40.8076529,-91.1128901,1909550,Des Moines,x,,19057,Iowa,
Burr Oak,43.458857,-91.8654332,1909640,Winneshiek,x,,19191,Iowa,CDP
Burt,43.1971854,-94.217741,1909685,Kossuth,x,,19109,Iowa,
Bussey,41.2066696,-92.8840881,1909730,Marion,x,,19125,Iowa,
Calamus,41.8258585,-90.7581987,1909820,Clinton,x,,19045,Iowa,
Albion,42.1123909,-92.9900403,1900955,Marshall,x,,19127,Iowa,
California Junction,41.55938,-95.99678,1909910,Harrison,x,,19085,Iowa,CDP
Callender,42.3616978,-94.2952865,1909955,Webster,x,,19187,Iowa,
Calmar,43.1835847,-91.8640482,1910045,Winneshiek,x,,19191,Iowa,
Calumet,42.9463676,-95.5500069,1910090,O'Brien,x,,19141,Iowa,
Camanche,41.7853085,-90.2529064,1910135,Clinton,x,,19045,Iowa,
Cambridge,41.8983187,-93.5291019,1910225,Story,x,,19169,Iowa,
Cantril,40.6441959,-92.069899,1910450,Van Buren,x,,19177,Iowa,
Carbon,41.0499871,-94.8233111,1910585,Adams,x,,19003,Iowa,
Carlisle,41.4986013,-93.4835466,1910765,Polk,,,19153,Iowa,
Carlisle,41.4986013,-93.4835466,1910765,Warren,x,x,19181,Iowa,
Alburnett,42.1483285,-91.6185065,1901000,Linn,x,,19113,Iowa,
Carpenter,43.4149647,-93.0149196,1911035,Mitchell,x,,19131,Iowa,
Carroll,42.0655986,-94.8672793,1911080,Carroll,x,,19027,Iowa,
Carson,41.2366607,-95.4180561,1911170,Pottawattamie,x,,19155,Iowa,
Carter Lake,41.2905534,-95.9180689,1911215,Pottawattamie,x,,19155,Iowa,
Cascade,42.2986159,-91.0148618,1911305,Dubuque,x,x,19061,Iowa,
Cascade,42.2986159,-91.0148618,1911305,Jones,,,19105,Iowa,
Casey,41.5047095,-94.5183037,1911395,Adair,,,19001,Iowa,
Casey,41.5047095,-94.5183037,1911395,Guthrie,x,x,19077,Iowa,
Castalia,43.1118201,-91.6763612,1911485,Winneshiek,x,,19191,Iowa,
Castana,42.0744332,-95.9086206,1911530,Monona,x,,19133,Iowa,
Alden,42.5202571,-93.3760389,1901045,Hardin,x,,19083,Iowa,
Cedar Falls,42.5348993,-92.4453161,1911755,Black Hawk,x,,19013,Iowa,
Cedar Rapids,41.9778795,-91.6656232,1912000,Linn,x,,19113,Iowa,
Center Junction,42.1161202,-91.0870939,1912225,Jones,x,,19105,Iowa,unincorporated community
Center Point,42.1908265,-91.7851772,1912270,Linn,x,,19113,Iowa,
Centerville,40.7290565,-92.8738196,1912315,Appanoose,x,,19007,Iowa,
Central City,42.2038829,-91.5240561,1912495,Linn,x,,19113,Iowa,
Centralia,42.4722244,-90.8370738,1912630,Dubuque,x,,19061,Iowa,
Chapin,42.8335814,-93.2221464,1912675,Franklin,x,,19069,Iowa,CDP
Chariton,41.0199996,-93.3140985,1912720,Lucas,x,,19117,Iowa,
Charles City,43.0663612,-92.6724112,1912765,Floyd,x,,19067,Iowa,
Alexander,42.8058039,-93.4765943,1901090,Franklin,x,,19069,Iowa,
Charlotte,41.9603038,-90.4651329,1912855,Clinton,x,,19045,Iowa,
Charter Oak,42.0683221,-95.5916693,1912900,Crawford,x,,19047,Iowa,
Chatsworth,42.9162418,-96.5164815,1912945,Sioux,x,,19167,Iowa,
Chelsea,41.9203126,-92.3945866,1912990,Tama,x,,19171,Iowa,
Cherokee,42.7496413,-95.5515431,1913080,Cherokee,x,,19035,Iowa,
Chester,43.4910768,-92.360449,1913125,Howard,x,,19089,Iowa,
Chillicothe,41.086327,-92.5287502,1913215,Wapello,x,,19179,Iowa,
Churdan,42.1519262,-94.4744169,1913350,Greene,x,,19073,Iowa,
Cincinnati,40.6308482,-92.9246459,1913395,Appanoose,x,,19007,Iowa,
Clare,42.5888614,-94.3460793,1913485,Webster,x,,19187,Iowa,
Algona,43.0699663,-94.233019,1901135,Kossuth,x,,19109,Iowa,
Clarence,41.888907,-91.0565423,1913530,Cedar,x,,19031,Iowa,
Clarinda,40.7419352,-95.038313,1913575,Page,x,,19145,Iowa,
Clarion,42.7316387,-93.732992,1913620,Wright,x,,19197,Iowa,
Clarksville,42.7847,-92.6676907,1913755,Butler,x,,19023,Iowa,
Clayton,42.9038759,-91.1473518,1913845,Clayton,x,,19043,Iowa,
Clear Lake,43.1435564,-93.3788108,1914025,Cerro Gordo,x,,19033,Iowa,
Clearfield,40.8008223,-94.4757947,1913980,Ringgold,,,19159,Iowa,
