County or equivalent,State or equivalent,Population (2020 census),Area (mi^2)
Curry,Oregon,"23,446",1627
Deschutes,Oregon,"198,253",3018
Douglas,Oregon,"111,201",5037
Gilliam,Oregon,"1,995",1204
Grant,Oregon,"7,233",4529
Harney,Oregon,"7,495",10135
Hood River,Oregon,"23,977",522
Jackson,Oregon,"223,259",2785
Jefferson,Oregon,"24,502",1781
Josephine,Oregon,"88,090",1640
Klamath,Oregon,"69,413",5945
Lake,Oregon,"8,160",7940
Lane,Oregon,"382,971",4554
Lincoln,Oregon,"50,395",980
Linn,Oregon,"128,610",2291
Malheur,Oregon,"31,571",9888
Marion,Oregon,"345,920",1185
Morrow,Oregon,"12,186",2033
Multnomah,Oregon,"815,428",435
Polk,Oregon,"87,433",741
Sherman,Oregon,"1,870",823
Tillamook,Oregon,"27,390",1102
Umatilla,Oregon,"80,075",3215
Union,Oregon,"26,196",2037
Wallowa,Oregon,"7,391",3145
Wasco,Oregon,"26,670",2381
Washington,Oregon,"600,372",724
Wheeler,Oregon,"1,451",1715
Yamhill,Oregon,"107,722",716
Adams,Pennsylvania,"103,852",522
Allegheny,Pennsylvania,"1,250,578",745
Armstrong,Pennsylvania,"65,558",664
Beaver,Pennsylvania,"168,215",444
Bedford,Pennsylvania,"47,577",1015
Berks,Pennsylvania,"428,849",866
Blair,Pennsylvania,"122,822",527
Bradford,Pennsylvania,"59,967",1161
Bucks,Pennsylvania,"646,538",622
Butler,Pennsylvania,"193,763",795
Cambria,Pennsylvania,"133,472",693
Cameron,Pennsylvania,"4,547",399
Carbon,Pennsylvania,"64,749",387
Centre,Pennsylvania,"158,172",1112
Chester,Pennsylvania,"534,413",760
Clarion,Pennsylvania,"37,241",609
Clearfield,Pennsylvania,"80,562",1154
Clinton,Pennsylvania,"37,450",898
Columbia,Pennsylvania,"64,727",490
Crawford,Pennsylvania,"83,938",1038
Cumberland,Pennsylvania,"259,469",551
Dauphin,Pennsylvania,"286,401",558
Delaware,Pennsylvania,"576,830",191
Elk,Pennsylvania,"30,990",832
Erie,Pennsylvania,"270,876",799
Fayette,Pennsylvania,"128,804",798
Forest,Pennsylvania,"6,973",431
Franklin,Pennsylvania,"155,932",771
Fulton,Pennsylvania,"14,556",438
Greene,Pennsylvania,"35,954",578
Huntingdon,Pennsylvania,"44,092",889
Indiana,Pennsylvania,"83,246",834
Jefferson,Pennsylvania,"44,492",657
Juniata,Pennsylvania,"23,509",394
Lackawanna,Pennsylvania,"215,896",465
Lancaster,Pennsylvania,"552,984",984
Lawrence,Pennsylvania,"86,070",363
Lebanon,Pennsylvania,"143,257",363
Lehigh,Pennsylvania,"374,557",349
Luzerne,Pennsylvania,"325,594",907
Lycoming,Pennsylvania,"114,188",1244
McKean,Pennsylvania,"40,432",984
Mercer,Pennsylvania,"110,652",683
Mifflin,Pennsylvania,"46,143",415
Monroe,Pennsylvania,"168,327",617
Montgomery,Pennsylvania,"856,553",487
Montour,Pennsylvania,"18,136",132
Northampton,Pennsylvania,"312,951",377
Northumberland,Pennsylvania,"91,647",477
Perry,Pennsylvania,"45,842",556
Philadelphia,Pennsylvania,"1,603,797",143
Pike,Pennsylvania,"58,535",567
Potter,Pennsylvania,"16,396",1081
Schuylkill,Pennsylvania,"143,049",778
Snyder,Pennsylvania,"39,736",332
Somerset,Pennsylvania,"74,129",1081
Sullivan,Pennsylvania,"5,840",452
Susquehanna,Pennsylvania,"38,434",832
Tioga,Pennsylvania,"41,045",1137
Union,Pennsylvania,"42,681",317
Venango,Pennsylvania,"50,454",683
Warren,Pennsylvania,"38,587",898
Washington,Pennsylvania,"209,349",861
Wayne,Pennsylvania,"51,155",751
Westmoreland,Pennsylvania,"354,663",1036
Wyoming,Pennsylvania,"26,069",406
York,Pennsylvania,"456,438",910
Adjuntas Municipality,Puerto Rico,"19,483",66.69
Aguada Municipality,Puerto Rico,"41,959",30.85
Aguadilla Municipality,Puerto Rico,"54,582",36.53
Aguas Buenas Municipality,Puerto Rico,"28,659",30.08
Aibonito Municipality,Puerto Rico,"25,900",31.31
Añasco Municipality,Puerto Rico,"29,261",39.29
Arecibo Municipality,Puerto Rico,"96,440",125.95
Arroyo Municipality,Puerto Rico,"19,575",15.01
Barceloneta Municipality,Puerto Rico,"24,816",18.69
Barranquitas Municipality,Puerto Rico,"30,318",34.25
Bayamón Municipality,Puerto Rico,"208,116",44.32
Cabo Rojo Municipality,Puerto Rico,"50,917",70.37
Caguas Municipality,Puerto Rico,"142,893",58.6
Camuy Municipality,Puerto Rico,"35,159",46.35
Canóvanas Municipality,Puerto Rico,"47,648",32.87
Carolina Municipality,Puerto Rico,"176,762",45.32
Cataño Municipality,Puerto Rico,"28,140",4.84
Cayey Municipality,Puerto Rico,"48,119",51.93
Ceiba Municipality,Puerto Rico,"13,631",29.04
Ciales Municipality,Puerto Rico,"18,782",66.53
Cidra Municipality,Puerto Rico,"43,480",36.02
Coamo Municipality,Puerto Rico,"40,512",78.1
Comerío Municipality,Puerto Rico,"20,778",28.4
Corozal Municipality,Puerto Rico,"37,142",42.57
Culebra Municipality,Puerto Rico,"1,818",11.62
Dorado Municipality,Puerto Rico,"38,165",23.09
Fajardo Municipality,Puerto Rico,"36,993",29.86
Florida Municipality,Puerto Rico,"12,680",15.21
Guánica Municipality,Puerto Rico,"19,427",37.05
Guayama Municipality,Puerto Rico,"45,362",64.99
Guayanilla Municipality,Puerto Rico,"21,581",42.27
Guaynabo Municipality,Puerto Rico,"97,924",27.58
Gurabo Municipality,Puerto Rico,"45,369",27.89
Hatillo Municipality,Puerto Rico,"41,953",41.78
Hormigueros Municipality,Puerto Rico,"17,250",11.34
Humacao Municipality,Puerto Rico,"58,466",44.75
Isabela Municipality,Puerto Rico,"45,631",55.3
Jayuya Municipality,Puerto Rico,"16,642",44.53
Juana Díaz Municipality,Puerto Rico,"79,897",60.28
Juncos Municipality,Puerto Rico,"40,290",26.49
Lajas Municipality,Puerto Rico,"25,753",59.95
Lares Municipality,Puerto Rico,"30,753",61.45
Las Marías Municipality,Puerto Rico,"9,881",46.36
Las Piedras Municipality,Puerto Rico,"38,675",33.88
Loíza Municipality,Puerto Rico,"30,060",19.37
Luquillo Municipality,Puerto Rico,"20,068",25.81
Manatí Municipality,Puerto Rico,"44,113",46.13
Maricao Municipality,Puerto Rico,"6,276",36.62
Maunabo Municipality,Puerto Rico,"12,225",21.07
Mayagüez Municipality,Puerto Rico,"89,080",77.65
Moca Municipality,Puerto Rico,"40,109",50.34
Morovis Municipality,Puerto Rico,"32,610",38.87
Naguabo Municipality,Puerto Rico,"26,720",51.66
Naranjito Municipality,Puerto Rico,"30,402",27.4
Orocovis Municipality,Puerto Rico,"23,423",63.62
Patillas Municipality,Puerto Rico,"19,277",46.7
Peñuelas Municipality,Puerto Rico,"24,282",44.62
Ponce Municipality,Puerto Rico,"166,327",114.76
Quebradillas Municipality,Puerto Rico,"25,919",22.68
Rincón Municipality,Puerto Rico,"15,200",14.29
Río Grande Municipality,Puerto Rico,"54,304",60.62
Sabana Grande Municipality,Puerto Rico,"25,265",35.83
Salinas Municipality,Puerto Rico,"31,078",69.37
San Germán Municipality,Puerto Rico,"35,527",54.5
San Juan Municipality,Puerto Rico,"395,326",47.85
San Lorenzo Municipality,Puerto Rico,"41,058",53.11
San Sebastián Municipality,Puerto Rico,"42,430",70.42
Santa Isabel Municipality,Puerto Rico,"23,274",34.02
Toa Alta Municipality,Puerto Rico,"74,066",27.02
Toa Baja Municipality,Puerto Rico,"89,609",23.24
Trujillo Alto Municipality,Puerto Rico,"74,842",20.76
Utuado Municipality,Puerto Rico,"33,149",113.53
Vega Alta Municipality,Puerto Rico,"39,951",27.73
Vega Baja Municipality,Puerto Rico,"59,662",45.86
Vieques Municipality,Puerto Rico,"9,301",50.77
Villalba Municipality,Puerto Rico,"26,073",35.64
Yabucoa Municipality,Puerto Rico,"37,941",55.21
Yauco Municipality,Puerto Rico,"42,043",68.19
Bristol,Rhode Island,"50,793",24
Kent,Rhode Island,"170,363",168
Newport,Rhode Island,"85,643",102
Providence,Rhode Island,"660,741",409
Washington,Rhode Island,"129,839",329
Abbeville,South Carolina,"24,295",511
Aiken,South Carolina,"168,808",1080
Allendale,South Carolina,"8,039",413
Anderson,South Carolina,"203,718",757
Bamberg,South Carolina,"13,311",395
Barnwell,South Carolina,"20,589",557
Beaufort,South Carolina,"187,117",576
Berkeley,South Carolina,"229,861",1228
Calhoun,South Carolina,"14,119",392
Charleston,South Carolina,"408,235",1358
Cherokee,South Carolina,"56,216",397
Chester,South Carolina,"32,294",586
Chesterfield,South Carolina,"43,273",806
Clarendon,South Carolina,"31,144",696
Colleton,South Carolina,"38,604",1133
Darlington,South Carolina,"62,905",567
Dillon,South Carolina,"28,292",407
Dorchester,South Carolina,"161,540",577
Edgefield,South Carolina,"25,657",507
Fairfield,South Carolina,"20,948",710
Florence,South Carolina,"137,059",804
Georgetown,South Carolina,"63,404",813.55
Greenville,South Carolina,"525,534",795
Greenwood,South Carolina,"69,351",463
Hampton,South Carolina,"18,561",563
Horry,South Carolina,"351,029",1255
Jasper,South Carolina,"28,791",700
Kershaw,South Carolina,"65,403",740
Lancaster,South Carolina,"96,016",555
Laurens,South Carolina,"67,539",724
Lee,South Carolina,"16,531",411
Lexington,South Carolina,"293,991",758
McCormick,South Carolina,"9,526",494
Marion,South Carolina,"29,183",485
Marlboro,South Carolina,"26,667",394
Newberry,South Carolina,"37,719",647
Oconee,South Carolina,"78,607",674
Orangeburg,South Carolina,"84,223",1128
Pickens,South Carolina,"131,404",512
Richland,South Carolina,"416,147",772
Saluda,South Carolina,"18,862",462
Spartanburg,South Carolina,"327,997",819
Sumter,South Carolina,"105,556",682
Union,South Carolina,"27,244",516
Williamsburg,South Carolina,"31,026",937
York,South Carolina,"282,090",696
Aurora,South Dakota,"2,747",708
Beadle,South Dakota,"19,149",1259
Bennett,South Dakota,"3,381",1185
Bon Homme,South Dakota,"7,003",563
Brookings,South Dakota,"34,375",794
Brown,South Dakota,"38,301",1713
Brule,South Dakota,"5,247",819
Buffalo,South Dakota,"1,948",471
Butte,South Dakota,"10,243",2249
Campbell,South Dakota,"1,377",736
Charles Mix,South Dakota,"9,373",1098
Clark,South Dakota,"3,837",958
Clay,South Dakota,"14,967",412
Codington,South Dakota,"28,325",688
Corson,South Dakota,"3,902",2473
Custer,South Dakota,"8,318",1558
Davison,South Dakota,"19,956",436
Day,South Dakota,"5,449",1029
Deuel,South Dakota,"4,295",624
Dewey,South Dakota,"5,239",2303
Douglas,South Dakota,"2,835",434
Edmunds,South Dakota,"3,986",1146
Fall River,South Dakota,"6,973",1740
Faulk,South Dakota,"2,125",1000
Grant,South Dakota,"7,556",682
Gregory,South Dakota,"3,994",1016
Haakon,South Dakota,"1,872",1813
Hamlin,South Dakota,"6,164",511
Hand,South Dakota,"3,145",1437
Hanson,South Dakota,"3,461",435
Harding,South Dakota,"1,311",2671
Hughes,South Dakota,"17,765",741
Hutchinson,South Dakota,"7,427",813
Hyde,South Dakota,"1,262",861
Jackson,South Dakota,"2,806",1869
Jerauld,South Dakota,"1,663",530
Jones,South Dakota,917,971
Kingsbury,South Dakota,"5,187",838
Lake,South Dakota,"11,059",563
Lawrence,South Dakota,"25,768",800
Lincoln,South Dakota,"65,161",578
Lyman,South Dakota,"3,718",1640
McCook,South Dakota,"5,682",839
McPherson,South Dakota,"2,411",575
Marshall,South Dakota,"4,306",1137
Meade,South Dakota,"29,852",3471
Mellette,South Dakota,"1,918",1307
Miner,South Dakota,"2,298",570
Minnehaha,South Dakota,"197,214",809
Moody,South Dakota,"6,336",520
Oglala Lakota,South Dakota,"13,672",2094
Pennington,South Dakota,"109,222",2776
Perkins,South Dakota,"2,835",2872
Potter,South Dakota,"2,472",866
Roberts,South Dakota,"10,280",1101
Sanborn,South Dakota,"2,330",569
Spink,South Dakota,"6,361",1504
Stanley,South Dakota,"2,980",1443
Sully,South Dakota,"1,446",1007
Todd,South Dakota,"9,319",1388
Tripp,South Dakota,"5,624",1614
Turner,South Dakota,"8,673",617
Union,South Dakota,"16,811",460
Walworth,South Dakota,"5,315",708
Yankton,South Dakota,"23,310",522
Ziebach,South Dakota,"2,413",1962
Anderson,Tennessee,"77,123",338
Bedford,Tennessee,"50,237",474
Benton,Tennessee,"15,864",394
Bledsoe,Tennessee,"14,913",406
Blount,Tennessee,"135,280",559
Bradley,Tennessee,"108,620",329
Campbell,Tennessee,"39,272",480
Cannon,Tennessee,"14,506",266
Carroll,Tennessee,"28,440",599
Carter,Tennessee,"56,356",341
Cheatham,Tennessee,"41,072",303
Chester,Tennessee,"17,341",289
Claiborne,Tennessee,"32,043",434
Clay,Tennessee,"7,581",236
Cocke,Tennessee,"35,999",434
Coffee,Tennessee,"57,889",429
Crockett,Tennessee,"13,911",265
Cumberland,Tennessee,"61,145",682
Davidson,Tennessee,"715,884",502
Decatur,Tennessee,"11,435",333
DeKalb,Tennessee,"20,080",304
Dickson,Tennessee,"54,315",490
Dyer,Tennessee,"36,801",510
Fayette,Tennessee,"41,990",705
Fentress,Tennessee,"18,489",499
Franklin,Tennessee,"42,774",553
Gibson,Tennessee,"50,429",603
Giles,Tennessee,"30,346",611
Grainger,Tennessee,"23,527",280
Greene,Tennessee,"70,152",622
Grundy,Tennessee,"13,529",361
Hamblen,Tennessee,"64,449",161
Hamilton,Tennessee,"366,207",543
Hancock,Tennessee,"6,662",222
Hardeman,Tennessee,"25,462",668
Hardin,Tennessee,"26,831",578
Hawkins,Tennessee,"56,721",487
Haywood,Tennessee,"17,864",533
Henderson,Tennessee,"27,842",520
Henry,Tennessee,"32,199",562
Hickman,Tennessee,"24,925",613
Houston,Tennessee,"8,283",200
Humphreys,Tennessee,"18,990",532
Jackson,Tennessee,"11,617",309
Jefferson,Tennessee,"54,683",274
Johnson,Tennessee,"17,948",299
Knox,Tennessee,"478,971",509
Lake,Tennessee,"7,005",163
Lauderdale,Tennessee,"25,143",470
Lawrence,Tennessee,"44,159",617
Lewis,Tennessee,"12,582",282
Lincoln,Tennessee,"35,319",570
Loudon,Tennessee,"54,886",229
McMinn,Tennessee,"53,276",307
McNairy,Tennessee,"25,866",557
Macon,Tennessee,"25,216",500
Madison,Tennessee,"98,823",375
Marion,Tennessee,"28,837",613
Marshall,Tennessee,"34,318",430
Maury,Tennessee,"100,974",560
Meigs,Tennessee,"12,758",195
Monroe,Tennessee,"46,250",635
Montgomery,Tennessee,"220,069",539
Moore,Tennessee,"6,461",129
Morgan,Tennessee,"21,035",522
Obion,Tennessee,"30,787",545
Overton,Tennessee,"22,511",433
Perry,Tennessee,"8,366",415
Pickett,Tennessee,"5,001",163
Polk,Tennessee,"17,544",435
Putnam,Tennessee,"79,854",401
Rhea,Tennessee,"32,870",316
Roane,Tennessee,"53,404",361
Robertson,Tennessee,"72,803",477
Rutherford,Tennessee,"341,486",619
Scott,Tennessee,"21,850",532
Sequatchie,Tennessee,"15,826",266
Sevier,Tennessee,"98,380",592
Shelby,Tennessee,"929,744",755
Smith,Tennessee,"19,904",314
Stewart,Tennessee,"13,657",458
Sullivan,Tennessee,"158,163",413
Sumner,Tennessee,"196,281",529
Tipton,Tennessee,"60,970",459
Trousdale,Tennessee,"11,615",114
Unicoi,Tennessee,"17,928",186
Union,Tennessee,"19,802",224
Van Buren,Tennessee,"6,168",247
Warren,Tennessee,"40,953",433
Washington,Tennessee,"133,001",326
Wayne,Tennessee,"16,232",734
Weakley,Tennessee,"32,902",580
White,Tennessee,"27,351",377
Williamson,Tennessee,"247,726",582
Wilson,Tennessee,"147,737",571
Anderson,Texas,"57,922",1071
Andrews,Texas,"18,610",1501
Angelina,Texas,"86,395",802
Aransas,Texas,"23,830",252
Archer,Texas,"8,560",910
Armstrong,Texas,"1,848",914
Atascosa,Texas,"48,981",1232
Austin,Texas,"30,167",653
Bailey,Texas,"6,904",827
Bandera,Texas,"20,851",792
Bastrop,Texas,"97,216",888
Baylor,Texas,"3,465",871
Bee,Texas,"31,047",880
Bell,Texas,"370,647",1059
Bexar,Texas,"2,009,324",1247
Blanco,Texas,"11,374",711
Borden,Texas,631,899
Bosque,Texas,"18,235",989
Bowie,Texas,"92,893",888
Brazoria,Texas,"372,031",1387
Brazos,Texas,"233,849",586
Brewster,Texas,"9,546",6193
Briscoe,Texas,"1,435",900
Brooks,Texas,"7,076",943
Brown,Texas,"38,095",944
Burleson,Texas,"17,642",666
Burnet,Texas,"49,130",995
Caldwell,Texas,"45,883",546
Calhoun,Texas,"20,106",512
Callahan,Texas,"13,708",899
Cameron,Texas,"421,017",906
Camp,Texas,"12,464",1998
Carson,Texas,"5,807",923
Cass,Texas,"28,454",938
Castro,Texas,"7,371",898
Chambers,Texas,"46,571",599
Cherokee,Texas,"50,412",1052
Childress,Texas,"6,664",710
Clay,Texas,"10,218",1098
Cochran,Texas,"2,547",775
Coke,Texas,"3,285",899
Coleman,Texas,"7,684",1273
Collin,Texas,"1,064,465",848
Collingsworth,Texas,"2,652",919
Colorado,Texas,"20,557",963
Comal,Texas,"161,501",562
Comanche,Texas,"13,594",938
Concho,Texas,"3,303",992
Cooke,Texas,"41,668",94
Coryell,Texas,"83,093",1052
Cottle,Texas,"1,380",901
Crane,Texas,"4,675",786
Crockett,Texas,"3,098",2808
Crosby,Texas,"5,133",900
Culberson,Texas,"2,188",3813
Dallam,Texas,"7,115",1505
Dallas,Texas,"2,613,539",880
Dawson,Texas,"12,456",902
Deaf Smith,Texas,"18,583",1497
Delta,Texas,"5,230",277
Denton,Texas,"906,422",888
DeWitt,Texas,"19,824",909
Dickens,Texas,"1,770",904
Dimmit,Texas,"8,615",1331
Donley,Texas,"3,258",930
Duval,Texas,"9,831",1793
Eastland,Texas,"17,825",926
Ector,Texas,"165,171",901
Edwards,Texas,"1,422",2120
Ellis,Texas,"192,455",940
El Paso,Texas,"865,657",1013
Erath,Texas,"42,545",1086
Falls,Texas,"16,968",769
Fannin,Texas,"35,662",892
Fayette,Texas,"24,435",950
Fisher,Texas,"3,672",901
Floyd,Texas,"5,402",992
Foard,Texas,"1,095",707
Fort Bend,Texas,"822,779",875
Franklin,Texas,"10,359",286
Freestone,Texas,"19,435",885
Frio,Texas,"18,385",1133
Gaines,Texas,"21,598",1502
Galveston,Texas,"350,682",399
Garza,Texas,"5,816",896
Gillespie,Texas,"26,725",1061
Glasscock,Texas,"1,116",901
Goliad,Texas,"7,012",854
Gonzales,Texas,"19,653",1068
Gray,Texas,"21,227",928
Grayson,Texas,"135,543",934
Gregg,Texas,"124,239",274
Grimes,Texas,"29,268",794
Guadalupe,Texas,"172,706",711
Hale,Texas,"32,522",1005
Hall,Texas,"2,825",903
Hamilton,Texas,"8,222",836
Hansford,Texas,"5,285",920
Hardeman,Texas,"3,549",695
Hardin,Texas,"56,231",894
Harris,Texas,"4,731,145",1729
Harrison,Texas,"68,839",899
Hartley,Texas,"5,382",1462
Haskell,Texas,"5,416",903
Hays,Texas,"251,067",678
Hemphill,Texas,"3,382",910
Henderson,Texas,"82,150",874
Hidalgo,Texas,"870,781",1569
Hill,Texas,"35,874",962
Hockley,Texas,"21,537",908
Hood,Texas,"61,598",422
Hopkins,Texas,"36,787",785
Houston,Texas,"22,066",1231
Howard,Texas,"34,860",903
Hudspeth,Texas,"3,202",4571
Hunt,Texas,"99,956",841
Hutchinson,Texas,"20,617",887
Irion,Texas,"1,513",1052
Jack,Texas,"8,472",917
Jackson,Texas,"14,988",830
Jasper,Texas,"32,980",938
Jeff Davis,Texas,"1,996",2265
Jefferson,Texas,"256,526",904
Jim Hogg,Texas,"4,838",1136
Jim Wells,Texas,"38,891",865
Johnson,Texas,"179,927",729
Jones,Texas,"19,663",931
Karnes,Texas,"14,710",750
Kaufman,Texas,"145,310",786
Kendall,Texas,"44,279",662
Kenedy,Texas,350,1457
Kent,Texas,753,902
Kerr,Texas,"52,598",1106
Kimble,Texas,"4,286",1251
King,Texas,265,912
Kinney,Texas,"3,129",1364
Kleberg,Texas,"31,040",871
Knox,Texas,"3,353",854
Lamar,Texas,"50,088",917
Lamb,Texas,"13,045",1016
Lampasas,Texas,"21,527",712
La Salle,Texas,"6,664",1489
Lavaca,Texas,"20,337",970
Lee,Texas,"17,478",629
Leon,Texas,"15,719",1072
Liberty,Texas,"91,628",1160
Limestone,Texas,"22,146",909
Lipscomb,Texas,"3,059",932
Live Oak,Texas,"11,335",1036
Llano,Texas,"21,243",935
Loving,Texas,64,673
Lubbock,Texas,"310,639",900
Lynn,Texas,"5,596",892
McCulloch,Texas,"7,630",1069
McLennan,Texas,"260,579",1042
McMullen,Texas,600,1113
Madison,Texas,"13,455",4707
Marion,Texas,"9,725",381
Martin,Texas,"5,237",915
Mason,Texas,"3,953",932
Matagorda,Texas,"36,255",1114
Maverick,Texas,"57,887",1280
Medina,Texas,"50,748",1328
Menard,Texas,"1,962",902
Midland,Texas,"169,983",900
Milam,Texas,"24,754",1017
Mills,Texas,"4,456",748
Mitchell,Texas,"8,990",910
Montague,Texas,"19,965",931
Montgomery,Texas,"620,443",1044
Moore,Texas,"21,358",900
Morris,Texas,"11,973",254
Motley,Texas,"1,063",989
Nacogdoches,Texas,"64,653",947
Navarro,Texas,"52,624",1071
Newton,Texas,"12,217",933
Nolan,Texas,"14,738",912
Nueces,Texas,"353,178",836
Ochiltree,Texas,"10,015",918
Oldham,Texas,"1,758",1501
Orange,Texas,"84,808",356
Palo Pinto,Texas,"28,409",953
Panola,Texas,"22,491",801
Parker,Texas,"148,222",904
Parmer,Texas,"9,869",882
Pecos,Texas,"15,193",4764
Polk,Texas,"50,123",1057
Potter,Texas,"118,525",909
Presidio,Texas,"6,131",3856
Rains,Texas,"12,164",259
Randall,Texas,"140,753",914
Reagan,Texas,"3,385",1175
Real,Texas,"2,758",700
Red River,Texas,"11,587",1050
Reeves,Texas,"14,748",2636
Refugio,Texas,"6,741",770
Roberts,Texas,827,924
Robertson,Texas,"16,757",855
Rockwall,Texas,"107,819",149
Runnels,Texas,"9,900",1054
Rusk,Texas,"52,214",924
Sabine,Texas,"9,894",490
San Augustine,Texas,"7,918",528
San Jacinto,Texas,"27,402",571
San Patricio,Texas,"68,755",692
San Saba,Texas,"5,730",1134
Schleicher,Texas,"2,451",1311
Scurry,Texas,"16,932",903
Shackelford,Texas,"3,105",914
Shelby,Texas,"24,022",794
Sherman,Texas,"2,782",923
Smith,Texas,"233,479",928
Somervell,Texas,"9,205",187
Starr,Texas,"65,920",1223
Stephens,Texas,"9,101",895
Sterling,Texas,"1,372",923
Stonewall,Texas,"1,245",919
Sutton,Texas,"3,372",1454
Swisher,Texas,"6,971",900
Tarrant,Texas,"2,110,640",864
Taylor,Texas,"143,208",916
Terrell,Texas,760,2358
Terry,Texas,"11,831",890
Throckmorton,Texas,"1,440",912
Titus,Texas,"31,247",411
Tom Green,Texas,"120,003",1522
Travis,Texas,"1,290,188",989
Trinity,Texas,"13,602",693
Tyler,Texas,"19,798",923
Upshur,Texas,"40,892",588
Upton,Texas,"3,308",1242
Uvalde,Texas,"24,564",1557
Val Verde,Texas,"47,586",3171
Van Zandt,Texas,"59,541",849
Victoria,Texas,"91,319",883
Walker,Texas,"76,400",788
Waller,Texas,"56,794",514
Ward,Texas,"11,644",836
Washington,Texas,"35,805",609
Webb,Texas,"267,114",3357
Wharton,Texas,"41,570",1090
Wheeler,Texas,"4,990",914
Wichita,Texas,"129,350",628
Wilbarger,Texas,"12,887",971
Willacy,Texas,"20,164",597
Williamson,Texas,"609,017",1124
Wilson,Texas,"49,753",807
Winkler,Texas,"7,791",841
Wise,Texas,"68,632",905
Wood,Texas,"44,843",650
Yoakum,Texas,"7,694",800
Young,Texas,"17,867",922
Zapata,Texas,"13,889",997
Zavala,Texas,"9,670",1299
Bajo Nuevo Bank,U.S. Minor Outlying Islands,0,0.01
Baker Island,U.S. Minor Outlying Islands,0,0.58
Howland Island,U.S. Minor Outlying Islands,0,0.62
Jarvis Island,U.S. Minor Outlying Islands,0,1.7
Johnston Atoll,U.S. Minor Outlying Islands,0,1.02
Kingman Reef,U.S. Minor Outlying Islands,0,0.01
Midway Islands,U.S. Minor Outlying Islands,40,2.4
Navassa Island,U.S. Minor Outlying Islands,0,2.1
Palmyra Atoll,U.S. Minor Outlying Islands,20,4.59
Serranilla Bank,U.S. Minor Outlying Islands,0,0.01
Wake Island,U.S. Minor Outlying Islands,100,2.5
Beaver,Utah,"7,072",83.32
Box Elder,Utah,"57,666",6729
Cache,Utah,"133,154",31.31
Carbon,Utah,"20,412",2590
Daggett,Utah,935,5746
Davis,Utah,"362,679",1165
Duchesne,Utah,"19,596",1478
Emery,Utah,"9,825",697
Garfield,Utah,"5,083",299
Grand,Utah,"9,669",3241
Iron,Utah,"57,289",4462
Juab,Utah,"11,786",5083
Kane,Utah,"7,667",3672
Millard,Utah,"12,975",3297
Morgan,Utah,"12,295",3392
Piute,Utah,"1,438",3990
Rich,Utah,"2,510",6572
Salt Lake,Utah,"1,185,238",609
San Juan,Utah,"14,518",758
Sanpete,Utah,"28,437",1029
Sevier,Utah,"21,522",742
Summit,Utah,"42,357",7820
Tooele,Utah,"72,698",1590
Uintah,Utah,"35,620",1911
Utah,Utah,"659,399",1872
Wasatch,Utah,"34,788",6941
Washington,Utah,"180,279",4480
Wayne,Utah,"2,486",2003
Weber,Utah,"262,223",1176
Addison,Vermont,"37,363",2426
Bennington,Vermont,"37,347",2461
Caledonia,Vermont,"30,233",576
Chittenden,Vermont,"168,323",770
Essex,Vermont,"5,920",676
Franklin,Vermont,"49,946",651
Grand Isle,Vermont,"7,293",539
Lamoille,Vermont,"25,945",665
Orange,Vermont,"29,277",637
Orleans,Vermont,"27,393",83
Rutland,Vermont,"60,572",461
Washington,Vermont,"59,807",689
Windham,Vermont,"45,905",697
Windsor,Vermont,"57,753",932
Saint Croix Island,Virgin Islands (U.S.),"50,601",690
Saint John Island,Virgin Islands (U.S.),"4,170",789
Saint Thomas Island,Virgin Islands (U.S.),"51,634",971
Accomack,Virginia,"33,413",455
Albemarle,Virginia,"112,395",723
Alleghany,Virginia,"15,223",446
Amelia,Virginia,"13,265",357
Amherst,Virginia,"31,307",475
Appomattox,Virginia,"16,119",334
Arlington,Virginia,"238,643",26
Augusta,Virginia,"77,487",971
Bath,Virginia,"4,209",532
Bedford,Virginia,"79,462",755
Bland,Virginia,"6,270",359
Botetourt,Virginia,"33,396",543
Brunswick,Virginia,"15,824",566
Buchanan,Virginia,"20,355",504
Buckingham,Virginia,"16,824",581
Campbell,Virginia,"55,696",504
Caroline,Virginia,"30,887",533
Carroll,Virginia,"29,155",476
Charles City,Virginia,"6,773",182
Charlotte,Virginia,"11,529",475
Chesterfield,Virginia,"364,548",426
Clarke,Virginia,"14,783",177
Craig,Virginia,"4,892",330
Culpeper,Virginia,"52,552",381
Cumberland,Virginia,"9,675",298
Dickenson,Virginia,"14,124",333
Dinwiddie,Virginia,"27,947",504
Essex,Virginia,"10,599",258
Fairfax,Virginia,"1,150,309",396
Fauquier,Virginia,"72,972",650
Floyd,Virginia,"15,476",382
Fluvanna,Virginia,"27,249",287
Franklin,Virginia,"54,477",692
Frederick,Virginia,"91,419",415
Giles,Virginia,"16,787",358
Gloucester,Virginia,"38,711",217
Goochland,Virginia,"24,727",284
Grayson,Virginia,"15,333",443
Greene,Virginia,"20,552",157
Greensville,Virginia,"11,391",296
Halifax,Virginia,"34,022",814
Hanover,Virginia,"109,979",473
Henrico,Virginia,"334,389",238
Henry,Virginia,"50,948",382
Highland,Virginia,"2,232",416
Isle of Wight,Virginia,"38,606",316
James City,Virginia,"78,254",143
King and Queen,Virginia,"6,608",316
King George,Virginia,"26,723",180
King William,Virginia,"17,810",275
Lancaster,Virginia,"10,919",133
